measurement,ref1_fu1,ref1_fu2,ref1_avg,ref1_std,ref2_fu1,ref2_fu2,ref2_avg,ref2_std,ant_fu1,ant_fu2,ant_avg,ant_std,rap_fu1,rap_fu2,rap_avg,rap_std,tp_fu1,tp_fu2,tp_avg,tp_std,rbp_fu1,rbp_fu2,rbp_avg,rbp_std,arg_fu1,arg_fu2,arg_avg,arg_std,usgs_fu1,usgs_fu2,usgs_avg,usgs_std
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.13,0.0,0.15,0.14,0.15,0.01,1.01,1.04,1.03,0.02,0.33,0.34,0.34,0.01,0.26,0.0,0.13,0.18,0.27,0.26,0.27,0.01
Cl,20.96,20.97,20.97,0.01,25.89,25.79,25.84,0.07,66.58,66.28,66.43,0.21,110.2,112.01,111.11,1.28,69.33,69.12,69.23,0.15,109.45,110.21,109.83,0.54,100.01,101.15,100.58,0.81,253.26,253.38,253.32,0.08
NO2(-),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.17,0.16,0.01,0.0,0.0,0.0,0.0,0.17,0.16,0.17,0.01,0.16,0.15,0.16,0.01,0.33,0.36,0.35,0.02
Br(-),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.18,0.0
NO3(-),0.14,0.12,0.13,0.01,0.19,0.17,0.18,0.01,0.37,0.4,0.39,0.02,0.55,0.56,0.56,0.01,0.0,0.0,0.0,0.0,0.53,0.57,0.55,0.03,0.5,0.56,0.53,0.04,2.71,2.68,2.7,0.02
PO4(3-),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO4(2-),13.28,13.45,13.37,0.12,33.92,33.77,33.85,0.11,50.67,49.77,50.22,0.64,92.33,92.94,92.64,0.43,,,,,405.34,404.94,405.14,0.28,271.61,273.37,272.49,1.24,178.22,178.79,178.51,0.4
