measurement,ref1_fu1,ref1_fu2,ref1_avg,ref1_std,ref2_fu1,ref2_fu2,ref2_avg,ref2_std,ant_fu1,ant_fu2,ant_avg,ant_std,rap_fu1,rap_fu2,rap_avg,rap_std,tp_fu1,tp_fu2,tp_avg,tp_std,rbp_fu1,rbp_fu2,rbp_avg,rbp_std,arg_fu1,arg_fu2,arg_avg,arg_std,usgs_fu1,usgs_fu2,usgs_avg,usgs_std
F,,0.08,0.08,0.0,0.1,,0.1,0.0,0.06,0.13,0.1,0.04,0.08,0.09,0.09,0.01,0.89,0.91,0.9,0.01,0.29,0.29,0.29,0.0,0.28,0.3,0.29,0.01,0.32,0.26,0.29,0.03
Cl,9.04,8.79,8.92,0.13,13.17,13.57,13.37,0.2,18.52,18.86,18.69,0.17,52.66,53.04,52.85,0.19,63.51,64.18,63.85,0.34,62.07,62.11,62.09,0.02,74.12,75.69,74.91,0.78,81.94,82.33,82.14,0.2
NO2(-),,,,,,,,,,,,,0.09,0.11,0.1,0.01,0.14,0.14,0.14,0.0,0.13,0.12,0.13,0.01,0.14,0.16,0.15,0.01,0.17,0.17,0.17,0.0
Br(-),,,,,,,,,0.06,0.06,0.06,0.0,,,,,0.06,0.16,0.11,0.05,,,,,,,,,0.15,0.15,0.15,0.0
NO3(-),0.37,0.29,0.33,0.04,0.35,0.37,0.36,0.01,0.96,0.52,0.74,0.22,0.97,0.49,0.73,0.24,0.36,0.12,0.24,0.12,0.4,0.38,0.39,0.01,0.66,0.64,0.65,0.01,2.36,2.34,2.35,0.01
PO4(3-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO4(2-),12.81,12.69,12.75,0.06,24.41,24.62,24.52,0.11,32.46,32.53,32.5,0.04,73.96,74.02,73.99,0.03,,,,,,,352.49,352.15,,,353.78,353.46,,,269.27,269.13
