measurement,uom,ref2,ant,rap,tp,rbp,arg,usgs
pH,sowm,7.17,7.5,7.3,6.48,7.18,6.74,7.78
Conductivity,uS/cm,110,148.2,280,1628,672,645,624
Ferrous,mg/L,0,,,0,,,0
Alkalinity,mg/L as CaCO3,22.6,,24.2,9,19.6,16.2,60.8
