measurement,dl_mg_l,ref1_fa1,ref1_fa2,ref1_avg_1,ref1_stdev_1,ref1_ra1,ref1_ra2,ref1_avg_2,ref1_stdev_2,ref2_fa1,ref2_fa2,ref2_avg_1,ref2_stdev_1,ref2_ra1,ref2_ra2,ref2_avg_2,ref2_stdev_2,ant_fa1,ant_fa2,ant_avg_1,ant_stdev_1,ant_ra1,ant_ra2,ant_avg_2,ant_stdev_2,rap_fa1,rap_fa2,rap_avg_1,rap_stdev_1,rap_ra1,rap_ra2,rap_avg_2,rap_stdev_2,tp_fa1,tp_fa2,tp_avg_1,tp_stdev_1,tp_ra1,tp_ra2,tp_avg_2,tp_stdev_2,rbp_fa1,rbp_fa2,rbp_avg_1,rbp_stdev_1,rbp_ra1,rbp_ra2,rbp_avg_2,rbp_stdev_2,arg_fa1,arg_fa2,arg_avg_1,arg_stdev_1,arg_ra1,arg_ra2,arg_avg_2,arg_stdev_2,usgs_fa1,usgs_fa2,usgs_avg_1,usgs_stdev_1,usgs_ra1,usgs_ra2,usgs_avg_2,usgs_stdev_2,blank_fa,blank_ra,blank__2_fa,blank__2_ra,wwtp_fa1,wwtp_fa2,wwtp_avg_1,wwtp_stdev_1,wwtp_ra1,wwtp_ra2,wwtp_avg_2,wwtp_stdev_2,chase_gulch_ra,ntd_ra
Cu 324.752 - A,0.0057,,,,,,,,,,,,,,,,,,,,,,,,,0.017429885,0.016935926,0.0172,0.0002,0.025460264,0.024259478,0.0249,0.0006,,,,,,,,,0.00936685,0.01063149,0.01,0.0006,0.018994632,0.020562564,0.0198,0.0008,,,,,0.007367608,0.006237987,0.0068,0.0006,,,,,,,,,,,,,,,,,,,,,,6.826501259
Cr 205.560 - A,0.000720609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012393888
Fe 238.204 - A,0.001600616,0.025282856,0.019956703,0.0226,0.0027,0.062643443,0.067025106,0.0648,0.0022,0.042436647,0.040705273,0.0416,0.0009,0.136742707,0.128084236,0.1324,0.0043,0.108303304,0.106518778,0.1074,0.0009,0.226358662,0.221147639,0.2238,0.0026,0.1404923,0.14355175,0.142,0.0015,0.318916207,0.332150617,0.3255,0.0066,0.001722109,0.003086176,0.0024,0.0007,0.44812995,0.459310381,0.4537,0.0056,0.059344351,0.058164464,0.0588,0.0006,0.325349874,0.34184897,0.3336,0.0082,0.022878316,0.023053501,0.023,0.0001,0.166474927,0.166118086,0.1663,0.0002,0.013579444,0.014132705,0.0139,0.0003,0.371874156,0.383991624,0.3779,0.0061,,,,,0.02846118,0.028156265,0.0283,0.0002,0.0564478,0.055271724,0.0559,0.0006,0.398146321,7.999039209
K 766.490 - R,0.108096097,1.374075792,1.202769218,1.2884,0.0857,1.151894384,1.05615971,1.104,0.0479,1.366393726,1.483727301,1.4251,0.0587,1.465353402,1.287431456,1.3764,0.089,1.3207139,1.431435064,1.3761,0.0554,1.489891439,1.486812494,1.4884,0.0015,1.920201874,1.953511332,1.9369,0.0167,2.022779829,2.139061299,2.0809,0.0581,9.062621664,9.024702075,9.0437,0.019,9.035382936,8.834611926,8.935,0.1004,2.690551478,2.625532154,2.658,0.0325,2.528140679,2.725024114,2.6266,0.0984,2.657247459,2.579205814,2.6182,0.039,2.856717243,2.716635479,2.7867,0.07,4.908499965,5.319264683,5.1139,0.2054,5.035296996,5.105680668,5.0705,0.0352,,,0.308074186,,15.44519086,15.20941368,15.3273,0.1179,16.55347011,15.41423527,15.9839,0.5696,2.551174808,4.638242656
Li 670.784 - R,0.00493449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027350865,0.027647898,0.0275,0.0001,0.02587216,0.025812253,0.0258,0.0,,,,,,,,,0.004952286,,0.005,0.0,,,,,,,,,0.005882398,0.005232915,0.0056,0.0003,,,,,0.008958785,0.00865957,0.0088,0.0001,0.009075252,0.008256328,0.0087,0.0004,,0.042346368
Mg 285.213 - R,0.004362439,2.391977821,2.365165684,2.3786,0.0134,2.409027087,2.337413708,2.3732,0.0358,3.051366171,3.143760058,3.0976,0.0462,3.122612483,3.039862719,3.0812,0.0414,3.228564603,3.244159499,3.2364,0.0078,3.305318825,3.239685757,3.2725,0.0328,5.245983513,5.244862752,5.2454,0.0006,5.353559113,5.411052088,5.3823,0.0287,69.86381827,70.60844041,70.2361,0.3723,72.89764701,70.24664325,71.5721,1.3255,11.27654532,11.67247836,11.4745,0.198,11.37487592,11.29166271,11.3333,0.0416,10.62101766,10.79519904,10.7081,0.0871,10.73852578,10.64560142,10.6921,0.0465,15.67301285,15.96378373,15.8184,0.1454,15.56362275,16.24712719,15.9054,0.3418,,0.00504923,,,38.67366739,38.91715733,38.7954,0.1217,38.01033226,38.77010477,38.3902,0.3799,8.048378842,75.56602988
Mg 279.077 - R,0.020268151,2.372934583,2.332315297,2.3526,0.0203,2.473620632,2.496793757,2.4852,0.0116,3.004598998,3.01545179,3.01,0.0054,3.000740419,3.004996037,3.0029,0.0021,3.236530224,3.219938811,3.2282,0.0083,3.200906435,3.169761602,3.1853,0.0156,5.210680667,5.53137998,5.371,0.1603,5.273223342,5.319112938,5.2962,0.0229,69.71551766,68.98295501,69.3492,0.3663,67.53117829,70.17818179,68.8547,1.3235,11.59000619,11.20758571,11.3988,0.1912,11.09173788,11.29981689,11.1958,0.104,10.63519033,10.63067051,10.6329,0.0023,10.72001598,10.71007156,10.715,0.005,15.09550719,15.48472106,15.2901,0.1946,15.7118202,15.45464187,15.5832,0.1286,,,,,38.34163024,38.29206178,38.3168,0.0248,38.44791866,37.30453756,37.8762,0.5717,7.79416656,74.13066047
Mn 257.610 - A,0.000169047,0.001569645,0.001526656,0.0015,0.0,0.004355052,0.003964985,0.0042,0.0002,0.072688735,0.071918376,0.0723,0.0004,0.074057651,0.075747285,0.0749,0.0008,0.075396384,0.073482825,0.0744,0.001,0.07962861,0.078380528,0.079,0.0006,0.541211566,0.545677038,0.5434,0.0022,0.553926294,0.551969923,0.5529,0.001,0.044899388,0.04448125,0.0447,0.0002,0.370263651,0.390104906,0.3802,0.0099,0.425155153,0.431523247,0.4283,0.0032,0.451597958,0.467290746,0.4594,0.0078,0.251086311,0.256620484,0.2539,0.0028,0.260224675,0.259606302,0.2599,0.0003,0.09621055,0.093890274,0.0951,0.0012,0.116034432,0.114306819,0.1152,0.0009,,,,,0.009022662,0.009085855,0.0091,0.0,0.011652697,0.012010118,0.0118,0.0002,0.205031079,63.52157598
Mo 202.031 - A,0.001235099,,0.001277418,0.0013,0.0,,,,,,,,,0.001459711,0.001969117,0.0017,0.0003,,,,,0.001294129,,0.0013,0.0,0.002688426,0.002116044,0.0024,0.0003,0.001773037,0.001651608,0.0017,0.0001,0.001655455,,0.0017,0.0,0.001544956,0.001397783,0.0015,0.0001,0.002069185,0.002099881,0.0021,0.0,0.001345726,0.001594892,0.0015,0.0001,,0.002720606,0.0027,0.0,0.002573447,0.001617909,0.0021,0.0005,0.003133097,0.002318551,0.0027,0.0004,0.002949891,0.002394847,0.0027,0.0003,,,,0.001369473,0.016414428,0.015906093,0.0162,0.0003,0.014803548,0.015441804,0.0151,0.0003,,
Na 589.592 - R,0.019306257,5.16726757,4.880956262,5.0241,0.1432,5.017799714,4.649371809,4.8336,0.1842,7.398232626,8.105508143,7.7519,0.3536,7.77334872,7.33341515,7.5534,0.22,7.830771322,8.003135583,7.917,0.0862,8.238815974,8.05781826,8.1483,0.0905,16.8330091,16.10421688,16.4686,0.3644,16.88013221,18.0332083,17.4567,0.5765,30.24263468,29.24719983,29.7449,0.4977,33.09922879,30.5954685,31.8473,1.2519,20.63105741,23.79351169,22.2123,1.5812,21.70111387,21.12709244,21.4141,0.287,21.52394267,21.79150331,21.6577,0.1338,22.34002527,21.06705578,21.7035,0.6365,35.37241533,36.75181222,36.0621,0.6897,34.95073903,35.35777967,35.1543,0.2035,0.043103563,0.065523066,0.038208003,0.035388428,70.29679273,69.21354038,69.7552,0.5416,66.99674889,70.05019899,68.5235,1.5267,5.473053599,182.8865631
Ni 231.604 - A,0.001451469,,,,,,,,,,,,,,,,,,,,,,,,,0.002143929,0.002538949,0.0023,0.0002,0.002393866,0.001965124,0.0022,0.0002,,,,,,,,,,,,,0.002009207,0.001908329,0.002,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.584071044
