measurement,dl_mg_l,ref_2_ra1,ref_2_ra2,ref_2_avg_1,ref_2_std_1,ref_2_fa1,ref_2_fa2,ref_2_avg_2,ref_2_std_2,ant_ra1,ant_ra2,ant_avg_1,ant_std_1,ant_fa1,ant_fa2,ant_avg_2,ant_std_2,rap_ra1,rap_ra2,rap_avg_1,rap_std_1,rap_fa1,rap_fa2,rap_avg_2,rap_std_2,tp_ra1,tp_ra2,tp_avg_1,tp_std_1,tp_fa1,tp_fa2,tp_avg_2,tp_std_2,rbp_ra1,rbp_ra2,rbp_avg_1,rbp_std_1,rbp_fa1,rbp_fa2,rbp_avg_2,rbp_std_2,arg_ra1,arg_ra2,arg_avg_1,arg_std_1,arg_fa1,arg_fa2,arg_avg_2,arg_std_2,usgs_ra1,usgs_ra2,usgs_avg_1,usgs_std_1,usgs_fa1,usgs_fa2,usgs_avg_2,usgs_std_2,blank_fa
Li 670.784-R,0.0014,,,,,,,,,,,,,,,,,,,,,,,,,0.0354,0.0334,0.0344,0.0014,0.0324,0.032,0.0322,0.0003,0.0016,0.002,0.0018,0.0003,0.0018,0.0016,0.0017,0.0001,0.002,0.0015,0.0018,0.0004,0.0016,,0.0016,,0.0019,0.0015,0.0017,0.0003,0.0014,0.0015,0.0015,0.0001,0.0246
Mg 279.553-R,0.0001,1.7083,1.649,1.6787,0.0419,1.5353,1.538,1.5367,0.0019,1.9763,1.88,1.9282,0.0681,1.6615,1.6509,1.6562,0.007495332,2.2872,2.2407,2.264,0.0329,2.0728,2.0547,2.0638,0.0128,61.4386,62.5781,62.0084,0.8057,62.762,62.3279,62.545,0.307,3.9074,3.9308,3.9191,0.0165,3.7706,3.7843,3.7775,0.0097,2.5543,2.5354,2.5449,0.0134,2.3508,2.315,2.3329,0.0253,3.2667,3.2974,3.2821,0.0217,3.1043,3.1428,3.1236,0.0272,9.1721
Mg 285.213-R,0.0014,1.6825,1.6149,1.6487,0.0478,1.5053,1.4914,1.4984,0.0098,1.9045,1.8082,1.8564,0.0681,1.6057,1.6006,1.60315,0.003606245,2.2091,2.1575,2.1833,0.0365,2.0023,1.9858,1.9941,0.0117,69.5753,70.1223,69.8488,0.3868,69.9727,70.3107,70.1417,0.239,3.8371,3.8727,3.8549,0.0252,3.7028,3.738,3.7204,0.0249,2.4947,2.4887,2.4917,0.0042,2.3177,2.2812,2.2995,0.0258,3.1829,3.2315,3.2072,0.0344,3.0444,3.0801,3.0623,0.0252,9.0912
Mn 257.610-A*,0,0.0694,0.0612,0.0653,0.0058,0.0116,0.0116,0.0116,0.0,0.0986,0.089,0.0938,0.0068,0.0215,0.0209,0.0212,0.000424264,0.2037,0.2024,0.2031,0.0009,0.1525,0.1514,0.152,0.0008,0.471,0.4883,0.4797,0.0122,0.4777,0.4829,0.4803,0.0037,0.2192,0.209,0.2141,0.0072,0.1747,0.1755,0.1751,0.0006,0.2117,0.2124,0.2121,0.0005,0.1504,0.1493,0.1499,0.0008,0.2378,0.2558,0.2468,0.0127,0.1349,0.139,0.137,0.0029,0.0025
Na 589.592-R,0.1345,2.7479,2.7107,2.7293,0.0263,2.7238,2.6985,2.7112,0.0179,3.1606,3.1553,3.158,0.0037,3.1148,3.0639,3.08935,0.035991735,4.0455,4.004,4.0248,0.0293,4.0385,3.9931,4.0158,0.0321,36.7629,36.6762,36.7196,0.0613,35.9935,35.1676,35.5806,0.584,4.626,4.6854,4.6557,0.042,4.6761,4.6545,4.6653,0.0153,4.7154,4.7218,4.7186,0.0045,4.8752,4.7681,4.8217,0.0757,6.0546,6.0437,6.0492,0.0077,6.2513,6.2228,6.2371,0.0202,28.6073
Ni 231.604-A,0.0005,,,,,,,,,,0.0005,0.0005,,,,,,,,,,,,,,0.0032,0.003,0.0031,0.0001,0.0025,0.0024,0.0025,0.0001,0.0036,0.003,0.0033,0.0004,0.0029,0.0021,0.0025,0.0006,0.004,0.0041,0.0041,0.0001,0.0024,0.0025,0.0025,0.0001,0.0037,0.0039,0.0038,0.0001,0.0024,0.0027,0.0026,0.0002,0.012
P 177.434-A,0.0106,0.0156,,0.0156,,,,,,0.0278,0.0165,0.0222,0.008,,,,,0.0181,0.0102,0.0142,0.0056,,,,,,,,,,,,,0.0189,0.0236,0.0213,0.0033,,,,,0.0311,0.0227,0.0269,0.0059,,,,,0.0231,0.0231,0.0231,0.0,0.0141,,0.0141,,0.012
Pb 220.353-A,0.002,,,,,,,,,0.0057,0.0059,0.0058,0.0001,,,,,0.0059,0.0073,0.0066,0.001,,,,,,,,,,,,,0.0038,0.0049,0.0044,0.0008,,,,,0.011,0.0085,0.0098,0.0018,,,,,0.0033,0.0041,0.0037,0.0006,,,,,
S 180.669-A,0.0276,2.5613,2.5796,2.5705,0.0129,2.5705,2.5551,2.5628,0.0109,2.8086,2.8583,2.8335,0.0351,2.8379,2.8271,2.8325,0.007636753,4.432,4.3723,4.4022,0.0422,4.4334,4.4892,4.4613,0.0395,367.1942,378.3655,372.7799,7.8993,381.2307,395.2283,388.2295,9.8978,14.82,14.6429,14.7315,0.1252,14.9716,15.0487,15.0102,0.0545,5.4554,5.4301,5.4428,0.0179,5.2438,5.2169,5.2304,0.019,7.2384,7.1478,7.1931,0.0641,7.1644,7.2555,7.21,0.0644,33.947
Se 196.026-A,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Si 251.611-A*,0.0114,5.4223,5.3572,5.3898,0.046,4.9628,5.0227,4.9928,0.0424,5.8731,5.9359,5.9045,0.0444,5.1657,5.0601,5.1129,0.074670476,5.7852,5.8092,5.7972,0.017,5.171,5.2086,5.1898,0.0266,0.9923,0.8021,0.8972,0.1345,0.751,0.7507,0.7509,0.0002,5.3468,5.2698,5.3083,0.0544,4.9276,4.8956,4.9116,0.0226,5.5916,5.5143,5.553,0.0547,4.7814,4.7315,4.7565,0.0353,5.6621,5.5921,5.6271,0.0495,4.9035,5.3043,5.1039,0.2834,3.1962
Sr 407.771-R*,0.0001,0.0382,0.0371,0.0377,0.0008,0.0364,0.0361,0.0363,0.0002,0.0393,0.0399,0.0396,0.0004,0.0381,0.0376,0.03785,0.000353553,0.0474,0.0469,0.0472,0.0004,0.0457,0.0453,0.0455,0.0003,1.7212,1.7316,1.7264,0.0074,1.7119,1.6766,1.6943,0.025,0.0918,0.0925,0.0922,0.0005,0.0917,0.0913,0.0915,0.0003,0.0583,0.0586,0.0585,0.0002,0.0588,0.0578,0.0583,0.0007,0.0673,0.0672,0.0673,0.0001,0.0672,0.068,0.0676,0.0006,0.2062
Tl 190.801-A,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V 292.402-A*,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,0.0014,,0.0014,,,,,,0.0013,0.0013,0.0013,0.0,,,,,0.0019,0.0016,0.0018,0.0002,,,,,0.0015,0.0012,0.0014,0.0002,0.0009,,0.0009,,
Zn 213.857-A,0.0003,0.0584,0.0552,0.0568,0.0023,0.0287,0.0281,0.0284,0.0004,0.0926,0.0834,0.088,0.0065,0.0359,0.0354,0.03565,0.000353553,0.1296,0.1301,0.1299,0.0004,0.0785,0.0781,0.0783,0.0003,0.019,0.018,0.0185,0.0007,0.0152,0.0153,0.0153,0.0001,0.132,0.1332,0.1326,0.0008,0.0969,0.0985,0.0977,0.0011,0.1621,0.1546,0.1584,0.0053,0.0853,0.0847,0.085,0.0004,0.1625,0.1705,0.1665,0.0057,0.0888,0.0912,0.09,0.0017,0.1584
Sn 189.927,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mo 202.031,0.001,,,,,,,,,,,,,,,,,,,,,,,,,0.0046,0.001,0.0028,0.0025,,,,,0.0025,0.0019,0.0022,0.0004,0.0035,0.0019,0.0027,0.0011,0.0023,0.0015,0.0019,0.0006,0.003,0.0025,0.0028,0.0004,0.0023,0.0017,0.002,0.0004,0.0021,0.0048,0.0035,0.0019,0.0013
Sb 217.582,0.0051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti 334.940,0.0002,0.0338,0.0251,0.0295,0.0062,0.001,0.0009,0.001,0.0001,0.0572,0.0388,0.048,0.013,0.0013,0.0012,0.00125,7.07107e-05,0.0274,0.0335,0.0305,0.0043,0.0009,0.0008,0.0009,0.0001,,,,,,,,,0.0285,0.0263,0.0274,0.0016,,,,,0.0424,0.0365,0.0395,0.0042,0.0012,0.001,0.0011,0.0001,0.0294,0.0309,0.0302,0.0011,0.0015,0.0005,0.001,0.0007,
