measurement,ref1_fu1,ref1_fu2,ref1_avg,ref1_std,ref2_fu1,ref2_fu2,ref2_avg,ref2_std,ant_fu1,ant_fu2,ant_avg,ant_std,rap_fu1,rap_fu2,rap_avg,rap_std,tp_fu1,tp_fu2,tp_avg,tp_std,rbp_fu1,rbp_fu2,rbp_avg,rbp_std,arg_fu1,arg_fu2,arg_avg,arg_std,usgs_fu1,usgs_fu2,usgs_avg,usgs_std
F,,,,,,,,,,,,,,,,,0.79,0.8,0.8,0.01,0.23,0.23,0.23,0.0,0.24,0.23,0.24,0.0,0.21,0.26,0.24,0.03
Cl,10.94,10.9,10.92,0.02,13.95,13.72,13.84,0.11,19.42,19.49,19.46,0.03,48.05,47.97,48.01,0.04,74.04,74.58,74.31,0.27,58.52,58.36,58.44,0.08,69.84,69.44,69.64,0.2,77.14,77.32,77.23,0.09
NO2(-),,,,,,,,,,,,,0.12,0.13,0.13,0.01,0.18,0.19,0.19,0.01,0.16,0.16,0.16,0.0,0.19,0.19,0.19,0.0,0.2,0.2,0.2,0.0
Br(-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.13,0.13,0.0
NO3(-),,,,,,,,,,0.1,0.1,0.0,,,,,0.1,0.11,0.11,0.01,,,,,0.14,0.13,0.14,0.01,2.47,2.44,2.46,0.02
PO4(3-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO4(2-),12.02,12.04,12.03,0.01,21.39,21.13,21.26,0.13,27.19,27.43,27.31,0.12,57.6,57.59,57.6,0.0,,,,,295.4,298.05,296.73,1.33,326.28,324.81,325.55,0.73,256.46,255.89,256.18,0.28
