measurement,ref1_fu1,ref1_fu2,ref1_avg,ref1_std,ref2_fu1,ref2_fu2,ref2_avg,ref2_std,ant_fu1,ant_fu2,ant_avg,ant_std,rap_fu1,rap_fu2,rap_avg,rap_std,tp_fu1,tp_fu2,tp_avg,tp_std,rbp_fu1,rbp_fu2,rbp_avg,rbp_std,arg_fu1,arg_fu2,arg_avg,arg_std,usgs_fu1,usgs_fu2,usgs_avg,usgs_std
F,,,,,,,,,,,,,0.09,,0.09,,1.04,,1.04,,0.14,0.13,0.13,0.01,0.12,0.16,0.14,0.03,0.2,0.18,0.19,0.01
Cl,3.58,3.58,3.58,0.0,6.17,5.53,5.85,0.45,10.39,10.32,10.36,0.05,24.22,24.28,24.25,0.04,80.36,79.98,80.17,0.27,29.58,29.8,29.69,0.16,27.89,27.67,27.78,0.16,37.35,35.53,36.44,1.29
NO2(-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Br(-),,,,,,,,,,,,,,,,,0.11,,0.11,,,,,,,,,,,0.1,0.1,
NO3(-),,,,,,,,,,,,,0.13,0.23,0.18,0.07,,,,,0.24,0.09,0.17,0.11,,0.11,0.11,,0.88,1.05,0.97,0.12
PO4(3-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO4(2-),6.81,6.72,6.77,0.07,11.45,11.24,11.34,0.15,13.84,14.03,13.94,0.13,30.52,30.3,30.41,0.15,,,,,124.96,125.63,125.3,0.48,121.89,121.64,121.77,0.18,118.89,118.76,118.83,0.09
