measurement,ref1_fu1,ref1_fu2,ref1_avg,ref1_std,ref2_fu1,ref2_fu2,ref2_avg,ref2_std,ant_fu1,ant_fu2,ant_avg,ant_std,rap_fu1,rap_fu2,rap_avg,rap_std,tp_fu1,tp_fu2,tp_avg,tp_std,rbp_fu1,rbp_fu2,rbp_avg,rbp_std,arg_fu1,arg_fu2,arg_avg,arg_std,usgs_fu1,usgs_fu2,usgs_avg,usgs_std
F,,,,,,,,,0.11,0.1,0.11,0.01,0.11,0.09,0.1,0.02,0.85,0.83,0.84,0.01,0.21,0.26,0.24,0.03,0.2,0.24,0.22,0.03,0.26,0.24,0.25,0.02
Cl,7.35,7.28,7.32,0.05,9.28,9.67,9.48,0.27,12.5,12.32,12.41,0.13,30.93,30.76,30.85,0.12,76.9,76.81,76.86,0.06,43.54,43.44,43.49,0.07,47.86,47.63,47.75,0.17,52.06,52.12,52.09,0.05
NO2(-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Br(-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO3(-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,1.43,1.33,0.14
PO4(3-),,,,,,,,,,,,,,,,,,0.78,0.78,,,,,,,,,,,,,
SO4(2-),7.17,7.33,7.25,0.11,15.79,16.3,16.05,0.36,18.85,18.71,18.78,0.1,40.44,40.01,40.23,0.31,,,,,281.62,281.56,281.59,0.05,231.75,231.36,231.56,0.28,187.19,186.66,186.92,0.38
