measurement,ref1_fu1,ref1_fu2,ref1_avg,ref1_std,ref2_fu1,ref2_fu2,ref2_avg,ref2_std,ant_fu1,ant_fu2,ant_avg,ant_std,rap_fu1,rap_fu2,rap_avg,rap_std,tp_fu1,tp_fu2,tp_avg,tp_std,rbp_fu1,rbp_fu2,rbp_avg,rbp_std,arg_fu1,arg_fu2,arg_avg,arg_std,usgs_fu1,usgs_fu2,usgs_avg,usgs_std
F,,,,,,,,,,,,,0.12,,0.12,0.0,0.78,0.79,0.79,0.01,0.27,0.27,0.27,0.0,0.28,0.3,0.29,0.01,0.31,,0.31,0.0
Cl,13.41,13.32,13.37,0.04,16.99,16.92,16.96,0.03,23.55,23.35,23.45,0.1,66.08,66.11,66.1,0.02,69.46,70.74,70.1,0.64,72.78,72.61,72.7,0.09,95.79,95.63,95.71,0.08,86.23,85.89,86.06,0.17
NO2(-),,,,,,,,,,,,,0.2,0.19,0.2,0.01,0.18,0.19,0.19,0.01,0.21,0.22,0.22,0.01,0.27,0.27,0.27,0.0,0.24,0.25,0.25,0.01
Br(-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.18,0.18,0.0
NO3(-),,0.13,0.13,0.0,0.14,0.13,0.14,0.01,0.26,,0.26,0.0,0.27,0.26,0.27,0.01,0.14,0.14,0.14,0.0,0.3,0.29,0.3,0.01,0.84,0.84,0.84,0.0,3.24,,3.24,0.0
PO4(3-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO4(2-),,12.68,12.68,0.0,24.91,24.74,24.83,0.09,37.56,37.97,37.77,0.2,83.08,82.86,82.97,0.11,,,,,,,,,,,,,,,,
