measurement,dl_mg_l,ref2_ra1,ref2_ra2,ref2_avg_1,ref2_stdev_1,ref2_0_45fa1,ref2_0_45fa2,ref2_avg_2,ref2_stdev_2,ref2_0_02fa1,ref2_0_02fa2,ref2_avg_3,ref2_stdev_3,ant_ra1,ant_ra2,ant_avg_1,ant_stdev_1,ant_ant_2s_1,ant_ant_2s_2,ant_avg_2,ant_stdev_2,ant_0_45fa1,ant_0_45fa2,ant_avg_3,ant_stdev_3,ant_0_02fa1,ant_0_02fa2,ant_avg_4,ant_stdev_4,nt_ra1,nt_ra2,nt_avg,nt_stdev,rap_ra1,rap_ra2,rap_avg_1,rap_stdev_1,rap_rap_2s_1,rap_rap_2s_2,rap_avg_2,rap_stdev_2,rap_0_45fa1,rap_0_45fa2,rap_avg_3,rap_stdev_3,rap_0_02fa1,rap_0_02fa2,rap_avg_4,rap_stdev_4,wtp_ra1,wtp_ra2,wtp_avg_1,wtp_stdev_1,wtp_0_45fa1,wtp_0_45fa2,wtp_avg_2,wtp_stdev_2,rbp_ra1,rbp_ra2,rbp_avg_1,rbp_stdev_1,rbp_0_45fa1,rbp_0_45fa2,rbp_avg_2,rbp_stdev_2,rbp_0_02fa1,rbp_0_02fa2,rbp_avg_3,rbp_stdev_3,arg_arg_2s_1,arg_arg_2s_2,arg_avg,arg_stdev,hematite_hematite_stock,hematite_1000x_hematite
Se 196.026-A,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Si 251.611-A*,0.0114,5.7014,5.5956,5.6485,0.0748,5.4008,5.8735,5.6372,0.3342,5.4206,5.3851,5.4029,0.0251,5.5622,5.5658,5.564,0.0025,5.7341,5.5153,5.6247,0.1547,5.558,5.5538,5.5559,0.003,5.5764,5.5192,5.5478,0.0404,17.1698,17.2054,17.1876,0.0252,5.6376,6.0078,5.8227,0.2618,5.9452,5.8457,5.8955,0.0704,5.6815,5.6389,5.6602,0.0301,5.6272,5.5655,5.5964,0.0436,14.275,1.537,7.906,9.0071,2.375,14.727,8.551,8.7342,5.439,8.151,6.795,1.9177,5.3137,5.6633,5.4885,0.2472,5.3273,5.183,5.2552,0.102,6.003,5.923,5.963,0.0566,37.1,0.0371
Sr 407.771-R*,0.0001,,,,,,0.0009,0.0009,,,,,,0.0019,0.0021,0.002,0.0001,0.0675,0.0661,0.0668,0.001,0.0023,0.0018,0.0021,0.0004,0.0028,0.0018,0.0023,0.0007,1.6054,1.605,1.6052,0.0003,0.0352,0.0367,0.036,0.0011,0.1123,0.1015,0.1069,0.0076,0.0359,0.0348,0.0354,0.0008,0.0352,0.0354,0.0353,0.0001,,1.313,,,1.361,,,,,,,,0.2948,0.2908,0.2928,0.0028,0.2892,0.2921,0.2907,0.0021,,,,,,
Tl 190.801-A,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V 292.402-A*,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008,,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zn 213.857-A,0.0003,0.0327,0.032,0.0324,0.0005,0.0272,0.0312,0.0292,0.0028,0.0115,0.0149,0.0132,0.0024,0.062,0.0645,0.0633,0.0018,0.107,0.1061,0.1066,0.0006,0.0573,0.0574,0.0574,0.0001,0.0381,0.0403,0.0392,0.0016,6.6259,6.5999,6.6129,0.0184,0.222,0.2203,0.2212,0.0012,0.3005,0.2648,0.2827,0.0252,0.2007,0.2062,0.2035,0.0039,0.179,0.1739,0.1765,0.0036,,,,,,,,,,,,,0.2832,0.2735,0.2784,0.0069,0.2566,0.2533,0.255,0.0023,,,,,,
Sn 189.927,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mo 202.031,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0027,0.0027,,0.0013,,0.0013,,,,,,,
Sb 217.582,0.0051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti 334.940,0.0002,,,,,,,,,,,,,,,,,0.0003,0.0004,0.0004,0.0001,,,,,,,,,,,,,,,,,0.0013,,0.0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
