measurement,ref1_fu1,ref1_fu2,ref1_avg,ref1_std,ref2_fu1,ref2_fu2,ref2_avg,ref2_std,ant_fu1,ant_fu2,ant_avg,ant_std,rap_fu1,rap_fu2,rap_avg,rap_std,tp_fu1,tp_fu2,tp_avg,tp_std,rbp_fu1,rbp_fu2,rbp_avg,rbp_std,arg_fu1,arg_fu2,arg_avg,arg_std,usgs_fu1,usgs_fu2,usgs_avg,usgs_std
F,0.06,0.06,0.06,0.0,0.09,0.08,0.09,0.01,0.1,,0.1,0.0,0.12,0.11,0.12,0.01,0.75,0.76,0.76,0.01,0.26,0.25,0.26,0.01,0.25,0.26,0.26,0.01,0.21,0.21,0.21,0.0
Cl,15.02,15.19,15.11,0.09,29.6,29.76,29.68,0.08,34.37,34.52,34.45,0.08,73.46,73.37,73.42,0.04,56.14,56.05,56.1,0.05,89.76,90.23,90.0,0.23,104.89,104.96,104.93,0.03,112.56,112.39,112.48,0.09
NO2(-),,,,,,,,,,,,,0.1,0.12,0.11,0.01,0.11,0.11,0.11,0.0,0.15,0.15,0.15,0.0,0.17,0.17,0.17,0.0,0.13,0.14,0.14,0.01
Br(-),,,,,,,,,,,,,,0.06,0.06,0.0,0.07,,0.07,0.0,0.08,0.07,0.08,0.01,0.07,0.07,0.07,0.0,0.16,0.16,0.16,0.0
NO3(-),0.46,0.48,0.47,0.01,0.49,0.49,0.49,0.0,0.51,0.5,0.51,0.01,0.49,0.5,0.5,0.01,0.16,0.49,0.33,0.17,0.51,0.51,0.51,0.0,0.67,0.67,0.67,0.0,4.13,4.12,4.13,0.0
PO4(3-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO4(2-),16.05,15.9,15.98,0.08,29.46,29.26,29.36,0.1,34.81,34.68,34.75,0.07,79.52,79.52,79.52,0.0,,,,,343.78,342.83,343.31,0.47,356.59,356.48,356.54,0.05,246.36,246.39,246.38,0.01
