measurement,ref1_fu1,ref1_fu2,ref1_avg,ref1_std,ref2_fu1,ref2_fu2,ref2_avg,ref2_std,ant_fu1,ant_fu2,ant_avg,ant_std,rap_fu1,rap_fu2,rap_avg,rap_std,tp_fu1,tp_fu2,tp_avg,tp_std,rbp_fu1,rbp_fu2,rbp_avg,rbp_std,arg_fu1,arg_fu2,arg_avg,arg_std,usgs_fu1,usgs_fu2,usgs_avg,usgs_std
F,,,,,,,,,0.14,0.16,0.15,0.01,,,,,0.59,0.6,0.6,0.01,0.07,0.07,0.07,0.0,0.11,0.11,0.11,0.0,0.12,0.19,0.16,0.04
Cl,35.81,35.41,35.61,0.2,43.81,43.7,43.76,0.05,106.83,106.94,106.89,0.05,96.83,97.69,97.26,0.43,54.63,54.45,54.54,0.09,106.91,106.08,106.5,0.41,120.23,120.94,120.59,0.35,130.71,129.85,130.28,0.43
NO2(-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Br(-),,,,,,,,,0.07,0.07,0.07,0.0,0.06,0.06,0.06,0.0,0.07,0.07,0.07,0.0,0.07,0.07,0.07,0.0,0.07,0.07,0.07,0.0,0.11,0.11,0.11,0.0
NO3(-),0.4,0.4,0.4,0.0,0.41,0.41,0.41,0.0,1.1,1.1,1.1,0.0,0.58,0.59,0.59,0.01,0.28,0.21,0.25,0.04,0.63,0.63,0.63,0.0,0.71,0.69,0.7,0.01,1.72,1.71,1.72,0.01
PO4(3-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO4(2-),17.36,17.08,17.22,0.14,26.55,26.31,26.43,0.12,159.74,159.66,159.7,0.04,58.93,59.3,59.12,0.18,,,,,185.58,184.0,184.79,0.79,190.13,191.46,190.8,0.67,190.9,186.52,188.71,2.19
