measurement,ref1_fu1,ref1_fu2,ref1_avg,ref1_std,ref2_fu1,ref2_fu2,ref2_avg,ref2_std,ant_fu1,ant_fu2,ant_avg,ant_std,rap_fu1,rap_fu2,rap_avg,rap_std,tp_fu1,tp_fu2,tp_avg,tp_std,rbp_fu1,rbp_fu2,rbp_avg,rbp_std,arg_fu1,arg_fu2,arg_avg,arg_std,usgs_fu1,usgs_fu2,usgs_avg,usgs_std,wwtp_fu1,wwtp_fu2,wwtp_avg,wwtp_std
F,,,,,0.15,0.15,0.15,0.0,,,,,,0.19,0.19,0.0,0.61,0.64,0.63,0.02,,0.23,0.23,0.0,0.19,0.21,0.2,0.01,0.25,0.3,0.28,0.03,0.18,0.19,0.19,0.01
Cl,10.35,10.35,10.35,0.0,14.97,14.14,14.56,0.42,16.38,15.85,16.12,0.27,37.77,37.74,37.76,0.02,44.44,44.42,44.43,0.01,46.05,45.77,45.91,0.14,49.06,48.93,49.0,0.07,69.35,69.53,69.44,0.09,89.78,92.68,91.23,1.45
NO2(-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.11,0.11,0.0
Br(-),,,,,,,,,,,,,,,,,0.12,,0.12,0.0,,,,,,,,,0.1,,0.1,0.0,0.19,0.2,0.2,0.01
NO3(-),0.13,,0.13,0.0,0.22,,0.22,0.0,0.16,0.15,0.16,0.01,0.22,0.14,0.18,0.04,0.23,0.23,0.23,0.0,0.26,0.22,0.24,0.02,,0.1,0.1,0.0,6.52,6.56,6.54,0.02,65.59,65.17,65.38,0.21
PO4(3-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO4(2-),7.64,7.8,7.72,0.08,14.06,14.02,14.04,0.02,16.58,16.54,16.56,0.02,38.02,38.14,38.08,0.06,,,,,,,157.14,156.29,,,133.83,133.79,,,140.83,140.17,,,67.11,67.27
