measurement,ref2_fu1,ref2_fu2,ref2_avg,ref2_std,ant_fu1,ant_fu2,ant_avg,ant_std,rap_fu1,rap_fu2,rap_avg,rap_std,tp_fu1,tp_fu2,tp_avg,tp_std,rbp_fu1,rbp_fu2,rbp_avg,rbp_std,arg_fu1,arg_fu2,arg_avg,arg_std,usgs_fu1,usgs_fu2,usgs_avg,usgs_std
F,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,1.41,1.5,1.46,0.06,0.33,0.34,0.34,0.01,0.31,0.3,0.31,0.01,0.15,0.16,0.16,0.01
Cl,13.87,14.17,14.02,0.21,48.35,48.89,48.62,0.38,21.25,21.37,21.31,0.08,69.39,70.82,70.11,1.01,48.93,49.29,49.11,0.25,47.8,47.91,47.86,0.08,59.62,59.45,59.54,0.12
NO2(-),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.11,0.12,0.01,0.1,0.0,0.05,0.07,0.1,0.0,0.05,0.07,0.12,0.12,0.12,0.0
Br(-),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.1,0.11,0.01
NO3(-),0.18,0.17,0.18,0.01,0.3,0.29,0.3,0.01,0.26,0.24,0.25,0.01,0.0,0.0,0.0,0.0,0.27,0.27,0.27,0.0,0.26,0.24,0.25,0.01,1.6,1.59,1.6,0.01
PO4(3-),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SO4(2-),18.17,18.2,18.19,0.02,56.99,56.78,56.89,0.15,25.98,26.06,26.02,0.06,1504.37,1508.75,1506.56,3.1,392.26,392.58,392.42,0.23,351.04,351.25,351.15,0.15,100.7,100.84,100.77,0.1
