measurement,ref1_fu1,ref1_fu2,ref1_avg,ref1_std,ref2_fu1,ref2_fu2,ref2_avg,ref2_std,ant_fu1,ant_fu2,ant_avg,ant_std,rap_fu1,rap_fu2,rap_avg,rap_std,tp_fu1,tp_fu2,tp_avg,tp_std,rbp_fu1,rbp_fu2,rbp_avg,rbp_std,arg_fu1,arg_fu2,arg_avg,arg_std,usgs_fu1,usgs_fu2,usgs_avg,usgs_std
F,,,,,,,,,,,,,,,,,0.76,0.49,0.63,0.19,0.2,0.18,0.19,0.01,0.2,0.18,0.19,0.01,0.22,0.22,0.22,0.0
Cl,13.33,12.56,12.95,0.54,43.05,43.16,43.1,0.08,200.47,200.76,200.61,0.2,163.91,164.84,164.37,0.66,112.79,111.72,112.26,0.75,200.59,199.68,200.14,0.65,111.03,110.82,110.92,0.15,152.33,152.22,152.27,0.08
NO2(-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Br(-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,0.11,
NO3(-),0.63,0.5,0.56,0.09,0.72,0.72,0.72,0.0,0.53,0.61,0.57,0.06,0.55,0.52,0.54,0.02,0.39,,0.39,,0.55,0.55,0.55,0.0,0.63,0.54,0.58,0.07,3.32,3.43,3.37,0.07
PO4(3-),0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO4(2-),12.8,13.15,12.98,0.25,25.45,25.02,25.24,0.31,29.99,29.54,29.77,0.32,61.7,60.76,61.23,0.66,44.51,,44.51,,345.1,344.3,344.7,0.57,309.44,307.86,308.65,1.11,223.91,224.25,224.08,0.24
