Name,Domain,Indicator,Year,Month,NAME,GeogID,Measure,TType,Value,ts,measureName,indicatorName,contentAreaName
ENCANTO VILLAGE,CD,80,2019,ALL,ENCANTO VILLAGE,37,428,ALL,53.78,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
ESTRELLA VILLAGE & TOLLESON,CD,80,2019,ALL,ESTRELLA VILLAGE & TOLLESON,38,428,ALL,38.39,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
FLAGSTAFF,CD,80,2019,ALL,FLAGSTAFF,10,428,ALL,54.02,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
FLORENCE,CD,80,2019,ALL,FLORENCE,91,428,ALL,17.02,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
FLOWING WELLS,CD,80,2019,ALL,FLOWING WELLS,112,428,ALL,58.31,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
FORT MCDOWELL YAVAPAI NATION,CD,80,2019,ALL,FORT MCDOWELL YAVAPAI NATION,54,428,ALL,10.45,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
FORTUNA FOOTHILLS,CD,80,2019,ALL,FORTUNA FOOTHILLS,86,428,ALL,0.02,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
FOUNTAIN HILLS/RIO VERDE,CD,80,2019,ALL,FOUNTAIN HILLS/RIO VERDE,52,428,ALL,44.43,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
GILA RIVER INDIAN COMMUNITY,CD,80,2019,ALL,GILA RIVER INDIAN COMMUNITY,73,428,ALL,2.88,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
GILBERT CENTRAL,CD,80,2019,ALL,GILBERT CENTRAL,75,428,ALL,28.43,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
GILBERT NORTH,CD,80,2019,ALL,GILBERT NORTH,74,428,ALL,54.82,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
GILBERT SOUTH,CD,80,2019,ALL,GILBERT SOUTH,76,428,ALL,2.41,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
GLENDALE CENTRAL,CD,80,2019,ALL,GLENDALE CENTRAL,58,428,ALL,85.47,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
