source,unit,location_name,location_type,variable_name,variable_desc,collected_on,medium,value
GardenRoots,mg/kg,040250015001,block_group,zinc,,2011-01-01,Fruiting Vegetables,3.69
GardenRoots,mg/kg,040250015001,block_group,copper,,2011-01-01,Fruiting Vegetables,1.2
GardenRoots,mg/kg,040250015001,block_group,arsenic,,2011-01-01,Fruiting Vegetables,0.0035
GardenRoots,mg/kg,040250015001,block_group,barium,,2011-01-01,Fruiting Vegetables,0.146
GardenRoots,mg/kg,040250015001,block_group,cadmium,,2011-01-01,Fruiting Vegetables,0.00531
GardenRoots,mg/kg,040250015001,block_group,chromium,,2011-01-01,Fruiting Vegetables,0.002
GardenRoots,mg/kg,040250015001,block_group,manganese,,2011-01-01,Fruiting Vegetables,0.809
GardenRoots,mg/kg,040250015001,block_group,nickel,,2011-01-01,Fruiting Vegetables,0.094
GardenRoots,mg/kg,040250015001,block_group,lead,,2011-01-01,Fruiting Vegetables,0.00254
GardenRoots,mg/kg,040250015001,block_group,zinc,,2011-01-01,Fruiting Vegetables,2.05
GardenRoots,mg/kg,040250015001,block_group,copper,,2011-01-01,Fruiting Vegetables,0.468
GardenRoots,mg/kg,040250015001,block_group,arsenic,,2011-01-01,Brassica Vegetables,0.0076
GardenRoots,mg/kg,040250015001,block_group,barium,,2011-01-01,Brassica Vegetables,0.241
GardenRoots,mg/kg,040250015001,block_group,cadmium,,2011-01-01,Brassica Vegetables,0.0153
GardenRoots,mg/kg,040250015001,block_group,chromium,,2011-01-01,Brassica Vegetables,0.0043
GardenRoots,mg/kg,040250015001,block_group,manganese,,2011-01-01,Brassica Vegetables,1.98
GardenRoots,mg/kg,040250015001,block_group,nickel,,2011-01-01,Brassica Vegetables,0.0783
GardenRoots,mg/kg,040250015001,block_group,lead,,2011-01-01,Brassica Vegetables,0.101
GardenRoots,mg/kg,040250015001,block_group,zinc,,2011-01-01,Brassica Vegetables,3.76
GardenRoots,mg/kg,040250015001,block_group,copper,,2011-01-01,Brassica Vegetables,0.494
GardenRoots,mg/kg,040250015002,block_group,arsenic,,2011-01-01,Brassica Vegetables,0.0371
GardenRoots,mg/kg,040250015002,block_group,barium,,2011-01-01,Brassica Vegetables,0.941
GardenRoots,mg/kg,040250015002,block_group,cadmium,,2011-01-01,Brassica Vegetables,0.00861
GardenRoots,mg/kg,040250015002,block_group,chromium,,2011-01-01,Brassica Vegetables,0.0129
GardenRoots,mg/kg,040250015002,block_group,manganese,,2011-01-01,Brassica Vegetables,2.7
GardenRoots,mg/kg,040250015002,block_group,nickel,,2011-01-01,Brassica Vegetables,0.0127
GardenRoots,mg/kg,040250015002,block_group,lead,,2011-01-01,Brassica Vegetables,0.00799
GardenRoots,mg/kg,040250015002,block_group,zinc,,2011-01-01,Brassica Vegetables,4.14
GardenRoots,mg/kg,040250015002,block_group,copper,,2011-01-01,Brassica Vegetables,0.426
GardenRoots,mg/kg,040250015002,block_group,arsenic,,2011-01-01,Fruiting Vegetables,0.0038
GardenRoots,mg/kg,040250015002,block_group,barium,,2011-01-01,Fruiting Vegetables,0.104
GardenRoots,mg/kg,040250015002,block_group,cadmium,,2011-01-01,Fruiting Vegetables,0.000297
GardenRoots,mg/kg,040250015002,block_group,chromium,,2011-01-01,Fruiting Vegetables,0.0022
GardenRoots,mg/kg,040250015002,block_group,manganese,,2011-01-01,Fruiting Vegetables,0.693
GardenRoots,mg/kg,040250015002,block_group,nickel,,2011-01-01,Fruiting Vegetables,0.0118
GardenRoots,mg/kg,040250015002,block_group,lead,,2011-01-01,Fruiting Vegetables,0.00346
GardenRoots,mg/kg,040250015002,block_group,zinc,,2011-01-01,Fruiting Vegetables,1.66
GardenRoots,mg/kg,040250015002,block_group,copper,,2011-01-01,Fruiting Vegetables,0.243
GardenRoots,mg/kg,040250015002,block_group,arsenic,,2011-01-01,Fruiting Vegetables,0.0057
GardenRoots,mg/kg,040250015002,block_group,barium,,2011-01-01,Fruiting Vegetables,0.0296
GardenRoots,mg/kg,040250015002,block_group,cadmium,,2011-01-01,Fruiting Vegetables,0.0013
GardenRoots,mg/kg,040250015002,block_group,chromium,,2011-01-01,Fruiting Vegetables,0.0032
GardenRoots,mg/kg,040250015002,block_group,manganese,,2011-01-01,Fruiting Vegetables,0.523
GardenRoots,mg/kg,040250015002,block_group,nickel,,2011-01-01,Fruiting Vegetables,0.134
GardenRoots,mg/kg,040250015002,block_group,lead,,2011-01-01,Fruiting Vegetables,0.304
GardenRoots,mg/kg,040250015002,block_group,zinc,,2011-01-01,Fruiting Vegetables,1.35
GardenRoots,mg/kg,040250015002,block_group,copper,,2011-01-01,Fruiting Vegetables,0.606
GardenRoots,mg/kg,040250015002,block_group,arsenic,,2011-01-01,Fruiting Vegetables,0.0078
GardenRoots,mg/kg,040250015002,block_group,barium,,2011-01-01,Fruiting Vegetables,0.104
GardenRoots,mg/kg,040250015002,block_group,cadmium,,2011-01-01,Fruiting Vegetables,0.00255
GardenRoots,mg/kg,040250015002,block_group,chromium,,2011-01-01,Fruiting Vegetables,0.0045
GardenRoots,mg/kg,040250015002,block_group,manganese,,2011-01-01,Fruiting Vegetables,0.674
GardenRoots,mg/kg,040250015002,block_group,nickel,,2011-01-01,Fruiting Vegetables,0.00539
GardenRoots,mg/kg,040250015002,block_group,lead,,2011-01-01,Fruiting Vegetables,0.00486
GardenRoots,mg/kg,040250015002,block_group,zinc,,2011-01-01,Fruiting Vegetables,1.78
GardenRoots,mg/kg,040250015002,block_group,copper,,2011-01-01,Fruiting Vegetables,0.471
GardenRoots,mg/kg,040250019003,block_group,arsenic,,2011-01-01,Brassica Vegetables,0.0223
GardenRoots,mg/kg,040250019003,block_group,barium,,2011-01-01,Brassica Vegetables,0.122
GardenRoots,mg/kg,040250019003,block_group,cadmium,,2011-01-01,Brassica Vegetables,0.0057
