source,unit,location_name,location_type,variable_name,variable_desc,collected_on,value,medium
CO School of Mines,,UPPER_REFERENCE,station,TANYTA,Diptera Chironomidae Tanytarsini (tribe),2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,ORTHOC,Diptera Chironomidae Orthocladiinae (subfamily),2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,TANYPO,Diptera Chironomidae Tanypodinae (subfamily),2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,DIAMES,Diptera Chironomidae Diamesinae (subfamily),2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,CHIROD,Diptera,2011-11-15 07:00:00,60.8,water
CO School of Mines,,UPPER_REFERENCE,station,ATHERIX,Diptera Athericidae Atherix,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,BEZZIA,Diptera Ceratopogonidae Bezzia,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,CLINOC,Diptera Empididae Clinocera,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,CHELIF,Diptera Empididae Chelifera,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,CERATO,Diptera,2011-11-15 07:00:00,2.2,water
CO School of Mines,,UPPER_REFERENCE,station,PERICO,Diptera Psychodidae Pericoma,2011-11-15 07:00:00,16.4,water
CO School of Mines,,UPPER_REFERENCE,station,SIMULD,Diptera Simuliidae Simulium,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,ANTOCH,Diptera Tipulidae Antocha,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,DICRAN,Diptera Tipulidae Dicranota,2011-11-15 07:00:00,1.0,water
CO School of Mines,,UPPER_REFERENCE,station,HEXATO,Diptera Tipulidae Hexatoma,2011-11-15 07:00:00,1.0,water
CO School of Mines,,UPPER_REFERENCE,station,TIPULA,Diptera Tipulidae Tipula,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,HESPER,Diptera Tipulidae Hesperoconopa,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,NEOPLA,Diptera Empididae Neoplasta,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,WIEDEM,Diptera Empididae Wiedemannia,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,BIBIOC,Diptera Blephariceridae Bibiocephala,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,RHABDO,Diptera Tipulidae Rhabdomastix,2011-11-15 07:00:00,1.2,water
CO School of Mines,,UPPER_REFERENCE,station,PROTAN,Diptera Tanyderidae Protanyderus,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,EMPIDID,Diptera,2011-11-15 07:00:00,8.2,water
CO School of Mines,,UPPER_REFERENCE,station,HEMERO,Diptera Empididae Hemerodromia,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,LIMNOP,Diptera Tipulidae Limnophila,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,ORMOSIA,Diptera Tipulidae Ormosia,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,DEUTERO,Diptera Deuterophlebiidae Deuterophlebia,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,MUSCID,Diptera,2011-11-15 07:00:00,0.0,water
CO School of Mines,,UPPER_REFERENCE,station,HETCOR,Coleoptera Elmidae Heterlimnius,2011-11-15 07:00:00,75.4,water
CO School of Mines,,UPPER_REFERENCE,station,NARPUS,Coleoptera Elmidae Narpus,2011-11-15 07:00:00,0.0,water
