ICP-AES,,,,,,,,,,,
,,BNT,,,ATP,,,RG,,,
Analyte Name,DL (mg/l),RA,FA,Tox,RA,FA,Tox,RA,FA,Tox,
Al 396.153 - A,0.0205,0.0778,0.0248,0.0717,0.0661,0.0255,0.0633,BDL,BDL,BDL,
As 188.979 - A,0.0047,0.0118,0.006,0.0064,0.0055,0.0051,BDL,0.0057,0.0109,0.0078,
B 249.677 - R,0.0459,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
Ba 233.527 - A,0.0001,0.0237,0.0222,0.0225,0.0226,0.0211,0.0224,0.0224,0.0226,0.0217,
Be 313.107 - R,0.0002,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
Ca 317.933 - A,0.0064,12.8988,12.5414,12.6315,15.5083,15.9096,16.1112,23.6709,23.953,23.114,
Cd 214.440 - A,0.0001,0.0006,0.0004,0.001,0.0007,0.001,0.0004,0.0008,0.0006,0.0008,
Co 228.616 - A,0.0002,0.0013,0.0019,0.0016,0.0014,0.0014,0.0008,0.004,0.0036,0.0034,
Cr 205.560 - A,0.0003,BDL,BDL,BDL,BDL,BDL,0.0005,BDL,0.0005,BDL,
Cu 324.752 - A,0.0011,0.0204,0.0101,0.0156,0.0118,0.0087,0.0216,0.0054,0.0062,0.0478,
Fe 238.204 - A,0.0003,1.0628,0.3416,1.04,0.7779,0.383,0.7771,0.6271,0.0676,0.5342,
K 766.490 - R,0.0323,1.0998,1.249,1.2559,1.5812,1.7099,1.6084,1.7629,1.6828,1.6306,
Li 670.784 - R,0.0014,BDL,0.002,0.0018,0.0015,0.0053,0.0051,0.0049,0.0042,0.0049,
Mg 285.213 - R,0.0001,3.5466,3.571,3.561,4.5143,4.5207,4.4751,7.0747,6.9514,6.6965,
Mg 279.077 - R,0.0014,3.5243,3.517,3.5665,4.5605,4.4785,4.4687,6.9704,6.9608,6.8599,
Mn 257.610 - A,0,0.4353,0.43,0.4258,0.378,0.3577,0.3751,1.0991,1.0952,1.0606,
Mo 202.031 - A,0.1345,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
Na 589.592 - R,0.0005,5.1287,5.3562,5.0274,10.096,10.6626,10.2206,10.2662,9.6193,9.1709,
Ni 231.604 - A,0.0106,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
