ICP-AES,,,,,,,,,,,
,,RBP,,,,,,,,,
Analyte Name,DL (mg/l),RA,FA,,,,,,,,
Al 396.153 - A,0.0205,0.1402,BDL,,,,,,,,
As 188.979 - A,0.0047,0.0128,0.0071,,,,,,,,
B 249.677 - R,0.0459,BDL,BDL,,,,,,,,
Ba 233.527 - A,0.0001,0.0207,0.0195,,,,,,,,
Be 313.107 - R,0.0002,BDL,BDL,,,,,,,,
Ca 317.933 - A,0.0064,20.254,19.8894,,,,,,,,
Cd 214.440 - A,0.0001,0.0015,0.0011,,,,,,,,
Co 228.616 - A,0.0002,0.0049,0.0045,,,,,,,,
Cr 205.560 - A,0.0003,0.0005,0.0009,,,,,,,,
Cu 324.752 - A,0.0011,0.0211,0.0209,,,,,,,,
Fe 238.204 - A,0.0003,4.2845,0.6835,,,,,,,,
K 766.490 - R,0.0323,1.6472,2.1659,,,,,,,,
Li 670.784 - R,0.0014,0.0033,0.0038,,,,,,,,
Mg 285.213 - R,0.0001,5.8069,5.7559,,,,,,,,
Mg 279.077 - R,0.0014,5.6401,5.779,,,,,,,,
Mn 257.610 - A,0,1.0166,0.9971,,,,,,,,
Mo 202.031 - A,0.1345,BDL,BDL,,,,,,,,
Na 589.592 - R,0.0005,8.7107,8.9195,,,,,,,,
Ni 231.604 - A,0.0106,BDL,BDL,,,,,,,,
P 213.617 - A,0.002,0.0033,0.0034,,,,,,,,
P 177.434 - A,0.0276,BDL,BDL,,,,,,,,
Pb 220.353 - A,0.01,BDL,BDL,,,,,,,,
S 181.975 - A,0.0114,15.2045,15.3136,,,,,,,,
S 180.669 - A,0.0001,15.7629,15.8576,,,,,,,,
Sb 217.582 - A,0.0018,BDL,BDL,,,,,,,,
Se 196.026 - A,0.0008,BDL,0.0041,,,,,,,,
Si 251.611 - A,0.0003,5.3712,5.145,,,,,,,,
Sn 189.927 - A,0.0017,BDL,BDL,,,,,,,,
Sr 460.733 - A,0.001,0.1131,0.1182,,,,,,,,
Ti 334.940 - A,0.0051,BDL,BDL,,,,,,,,
Tl 190.801 - A,0.0002,BDL,0.0055,,,,,,,,
V 292.402 - A,0.0022,BDL,BDL,,,,,,,,
Zn 213.857 - A,0.0001,0.3227,0.2658,,,,,,,,
Au 267.595,0.0001,0.0002,0.0002,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
