top5_labid,siteid,stateid,latitude,longitude,colldate,landcover1,landcover2,top5_depth,top5_quartz,top5_tot_k_fs,top5_tot_plag,top5_tot_flds,top5_tot_14a,top5_tot_10a,top5_kaolinit,top5_tot_clay,top5_gibbsite,top5_calcite,top5_dolomite,top5_aragon,top5_tot_carb,top5_analcime,top5_heuland,top5_tot_zeol,top5_gypsum,top5_talc,top5_hornbl,top5_serpent,top5_hematite,top5_goethite,top5_pyroxene,top5_pyrite,top5_other,top5_amorph,top5_ag,top5_al,top5_as,top5_ba,top5_be,top5_bi,top5_c_tot,top5_c_inorg,top5_c_org,top5_ca,top5_cd,top5_ce,top5_co,top5_cr,top5_cs,top5_cu,top5_fe,top5_ga,top5_hg,top5_in,top5_k,top5_la,top5_li,top5_mg,top5_mn,top5_mo,top5_na,top5_nb,top5_ni,top5_p,top5_pb,top5_rb,top5_s,top5_sb,top5_sc,top5_se,top5_sn,top5_sr,top5_te,top5_th,top5_ti,top5_tl,top5_u,top5_v,top5_w,top5_y,top5_zn,geoid,geoid_type
C-319432,6363,CO,38.7136,-106.3109,09/25/08,Forested Upland,Mixed Forest,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.79,3.8,784,1.8,1.39,,,,1.37,0.8,136,11.5,9,<5,29.7,2.57,23.3,0.01,0.1,3.1,67.8,16,0.54,522,2.92,2.06,21.8,6.5,630,108,175,0.02,0.48,5.5,<0.2,2.7,387,0.2,25.6,0.21,1,6.6,57,8.4,27.2,101,NA,block_group
C-319430,6379,CO,38.1083,-104.6651,06/09/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.55,6.9,734,1.7,0.28,,,,4.67,1.1,87.3,12,27,<5,23.1,2.85,17.8,0.02,0.07,2.49,44.4,23,0.79,577,3.81,1.32,16.4,19.1,1020,36.9,97.7,0.03,1.37,8.4,0.6,2,328,<0.1,13.7,0.33,0.7,3.2,92,1.3,25.9,92,NA,block_group
C-319368,6443,CO,37.4033,-106.1798,06/13/08,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.71,4.8,743,1.3,0.24,,,,7.66,0.3,75.8,17,34,<5,24.1,3.13,16.5,0.02,0.05,1.82,38.5,23,1.07,768,0.87,1.13,13.3,15.2,1380,21.8,74.6,0.04,0.77,9,<0.2,1.6,407,<0.1,9.1,0.38,0.4,2,81,1.2,23.9,73,NA,block_group
C-319442,6571,CO,38.9726,-102.1674,06/21/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.14,3.6,691,1.4,0.2,,,,0.75,0.3,67.8,6.6,23,<5,11.7,1.79,12.9,0.02,0.03,2.28,35.5,19,0.49,376,0.82,0.94,11.8,10.5,540,21.9,92.8,0.02,0.53,6.1,0.2,1.4,182,<0.1,11.8,0.24,0.6,2.4,49,0.9,18.3,54,NA,block_group
C-319392,6635,CO,38.2306,-103.4168,06/18/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,4.21,5,657,1.1,0.22,,,,0.46,0.6,64.9,7.5,20,<5,12.6,1.7,12.2,0.02,0.03,2.33,31.5,13,0.32,444,2.27,0.69,8.4,10.8,560,28.5,103,0.02,0.8,4.5,0.5,1.1,133,<0.1,10.8,0.14,0.6,2.2,48,0.7,16.5,58,NA,block_group
C-319360,6651,CO,40.3686,-107.4924,08/09/08,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,3.98,5.9,424,1.2,0.23,,,,0.69,0.2,54.7,7.2,29,<5,12.4,1.76,10.4,0.02,0.04,1.58,27.3,20,0.54,322,0.6,0.61,7.1,12.6,670,21.7,73.3,0.04,0.71,5.3,<0.2,1.4,78.9,<0.1,8.7,0.16,0.5,2.2,42,1.2,13,62,NA,block_group
C-319339,6699,CO,37.5335,-107.806,09/30/08,Forested Upland,Mixed Forest,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.62,5.4,577,1.5,0.45,,,,0.99,0.6,65,12.6,34,<5,31.7,2.58,16.4,0.04,0.05,1.73,31.3,32,0.73,1210,1.34,0.93,11.1,18.3,710,46.2,90.7,0.03,0.78,8.2,0.3,1.4,135,0.1,8.9,0.3,0.5,2.7,57,1.1,17.3,114,NA,block_group
C-319329,6747,CO,40.7539,-104.8988,06/28/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.68,7.1,513,1.9,0.26,,,,1.37,0.5,80.9,14.1,35,5,21.1,2.6,19.3,0.04,0.05,1.76,39.4,33,0.7,453,1.03,0.19,13.3,18.9,480,22.4,96.8,0.02,0.77,8.9,0.4,1.8,110,<0.1,12.6,0.31,0.7,3.4,77,1.4,22.5,94,NA,block_group
C-319365,6811,CO,37.8284,-107.6216,09/30/08,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5.73,19.6,680,1.6,2.54,,,,0.67,6,68.4,16.3,21,13,152,3.76,17.1,0.09,0.52,2.23,33.9,50,0.83,3970,9.61,0.73,10.7,9.1,1770,1010,151,0.1,6.31,10.2,0.4,1.8,185,1,9.6,0.31,2,2.6,79,11.7,16,1080,NA,block_group
C-319423,6827,CO,40.0492,-106.1423,09/24/08,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.15,3.8,702,1.7,0.22,,,,0.69,0.5,141,9.8,39,<5,18.6,2.87,17.4,0.01,0.05,2.66,69.5,25,0.47,581,1.09,1.26,16.2,13.8,850,32.4,130,0.02,0.48,8.2,<0.2,2.1,231,<0.1,26.9,0.29,0.8,4.6,63,1.2,21.2,87,NA,block_group
