source,unit,location_name,location_type,variable_name,variable_desc,collected_on,medium,value
USGS,wt. %,"32.494,-109.473",point,na,Concentration of na,2013-09-18,soil,1.96
USGS,mg/kg,"32.494,-109.473",point,nb,Concentration of nb,2013-09-18,soil,19.9
USGS,mg/kg,"32.494,-109.473",point,ni,Concentration of ni,2013-09-18,soil,13.5
USGS,mg/kg,"32.494,-109.473",point,p,Concentration of p,2013-09-18,soil,480.0
USGS,mg/kg,"32.494,-109.473",point,pb,Concentration of pb,2013-09-18,soil,27.3
USGS,mg/kg,"32.494,-109.473",point,rb,Concentration of rb,2013-09-18,soil,161.0
USGS,wt. %,"32.494,-109.473",point,s,Concentration of s,2013-09-18,soil,0.01
USGS,mg/kg,"32.494,-109.473",point,sb,Concentration of sb,2013-09-18,soil,1.33
USGS,mg/kg,"32.494,-109.473",point,sc,Concentration of sc,2013-09-18,soil,7.9
USGS,mg/kg,"32.494,-109.473",point,sn,Concentration of sn,2013-09-18,soil,2.9
USGS,mg/kg,"32.494,-109.473",point,sr,Concentration of sr,2013-09-18,soil,220.0
USGS,mg/kg,"32.494,-109.473",point,th,Concentration of th,2013-09-18,soil,27.4
USGS,wt. %,"32.494,-109.473",point,ti,Concentration of ti,2013-09-18,soil,0.47
USGS,mg/kg,"32.494,-109.473",point,tl,Concentration of tl,2013-09-18,soil,0.8
USGS,mg/kg,"32.494,-109.473",point,u,Concentration of u,2013-09-18,soil,3.4
USGS,mg/kg,"32.494,-109.473",point,v,Concentration of v,2013-09-18,soil,78.0
USGS,mg/kg,"32.494,-109.473",point,w,Concentration of w,2013-09-18,soil,2.6
USGS,mg/kg,"32.494,-109.473",point,y,Concentration of y,2013-09-18,soil,31.2
USGS,mg/kg,"32.494,-109.473",point,zn,Concentration of zn,2013-09-18,soil,64.0
USGS,wt. %,"35.4173,-113.2629",point,al,Concentration of al,2013-09-18,soil,4.17
USGS,mg/kg,"35.4173,-113.2629",point,as,Concentration of as,2013-09-18,soil,6.2
USGS,mg/kg,"35.4173,-113.2629",point,ba,Concentration of ba,2013-09-18,soil,423.0
USGS,mg/kg,"35.4173,-113.2629",point,be,Concentration of be,2013-09-18,soil,1.3
USGS,mg/kg,"35.4173,-113.2629",point,bi,Concentration of bi,2013-09-18,soil,0.21
USGS,wt. %,"35.4173,-113.2629",point,ca,Concentration of ca,2013-09-18,soil,3.59
USGS,mg/kg,"35.4173,-113.2629",point,cd,Concentration of cd,2013-09-18,soil,0.2
USGS,mg/kg,"35.4173,-113.2629",point,ce,Concentration of ce,2013-09-18,soil,49.6
USGS,mg/kg,"35.4173,-113.2629",point,co,Concentration of co,2013-09-18,soil,7.2
USGS,mg/kg,"35.4173,-113.2629",point,cr,Concentration of cr,2013-09-18,soil,37.0
USGS,mg/kg,"35.4173,-113.2629",point,cs,Concentration of cs,2013-09-18,soil,5.0
USGS,mg/kg,"35.4173,-113.2629",point,cu,Concentration of cu,2013-09-18,soil,16.5
USGS,wt. %,"35.4173,-113.2629",point,fe,Concentration of fe,2013-09-18,soil,2.01
USGS,mg/kg,"35.4173,-113.2629",point,ga,Concentration of ga,2013-09-18,soil,10.9
USGS,mg/kg,"35.4173,-113.2629",point,hg,Concentration of hg,2013-09-18,soil,0.02
USGS,mg/kg,"35.4173,-113.2629",point,in,Concentration of in,2013-09-18,soil,0.04
USGS,wt. %,"35.4173,-113.2629",point,k,Concentration of k,2013-09-18,soil,1.54
USGS,mg/kg,"35.4173,-113.2629",point,la,Concentration of la,2013-09-18,soil,28.1
