top5_labid,siteid,stateid,latitude,longitude,colldate,landcover1,landcover2,top5_depth,top5_quartz,top5_tot_k_fs,top5_tot_plag,top5_tot_flds,top5_tot_14a,top5_tot_10a,top5_kaolinit,top5_tot_clay,top5_gibbsite,top5_calcite,top5_dolomite,top5_aragon,top5_tot_carb,top5_analcime,top5_heuland,top5_tot_zeol,top5_gypsum,top5_talc,top5_hornbl,top5_serpent,top5_hematite,top5_goethite,top5_pyroxene,top5_pyrite,top5_other,top5_amorph,top5_ag,top5_al,top5_as,top5_ba,top5_be,top5_bi,top5_c_tot,top5_c_inorg,top5_c_org,top5_ca,top5_cd,top5_ce,top5_co,top5_cr,top5_cs,top5_cu,top5_fe,top5_ga,top5_hg,top5_in,top5_k,top5_la,top5_li,top5_mg,top5_mn,top5_mo,top5_na,top5_nb,top5_ni,top5_p,top5_pb,top5_rb,top5_s,top5_sb,top5_sc,top5_se,top5_sn,top5_sr,top5_te,top5_th,top5_ti,top5_tl,top5_u,top5_v,top5_w,top5_y,top5_zn,geoid,geoid_type
C-339058,5595,AZ,36.1669,-110.6183,04/23/09,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,4.46,3.5,562,1.3,0.2,,,,0.57,0.1,42.1,5,14,<5,13.6,1.55,7.82,0.01,0.03,1.41,21.3,18,0.6,361,0.36,0.66,6.7,9,390,16.9,71.1,0.02,0.67,5,<0.2,1,99.7,<0.1,7.5,0.21,0.5,1.7,37,0.7,12.5,37,040179400121,block_group
C-351662,5643,AZ,31.5418,-111.5487,06/24/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.89,3,848,1.8,0.27,,,,0.71,<0.1,42.6,4.3,16,6,16,2.12,17.5,0.02,0.03,3.35,23.4,21,0.3,335,0.66,1.47,13.4,11.2,160,26.2,134,0.01,1.01,5,<0.2,1.4,187,<0.1,10.4,0.19,0.8,1.9,42,1.2,14.8,42,040190043163,block_group
C-343350,5807,AZ,36.0908,-112.6981,07/22/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,4.17,6.8,443,1.2,0.22,,,,4.94,0.3,51.8,8.8,36,6,21.6,2.24,10.2,0.03,0.04,1.68,27.1,22,1.96,657,0.71,0.41,8.9,18.2,750,16.3,73.1,0.03,0.7,6.6,<0.2,1.4,126,<0.1,9.9,0.23,0.4,1.9,38,1.1,16.4,61,040050023001,block_group
C-351471,5815,AZ,33.6593,-112.596,07/05/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.71,3,759,1.5,0.19,,,,1.41,0.1,85.9,7,35,<5,16.4,2.68,11.8,0.01,0.03,1.68,45.3,19,0.71,387,0.42,2.09,8.9,16.3,450,14.9,49.4,0.01,0.39,6.2,<0.2,1,319,<0.1,8.4,0.29,0.3,1.5,64,0.8,14,42,040130405162,block_group
C-351663,5844,AZ,33.5604,-110.6783,06/28/10,Forested Upland,Mixed Forest,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,9.42,2.7,232,0.8,0.11,,,,5.11,0.1,24.8,56.7,50,<5,83.8,9.36,19.3,0.01,0.06,0.43,10.8,15,2.74,1200,0.48,2.16,9.8,65.4,1430,6.3,14.2,0.02,0.15,13.5,<0.2,1.1,576,<0.1,0.9,1.77,0.1,0.2,284,0.3,16.7,94,040070010001,block_group
C-339059,5851,AZ,36.1781,-109.0773,04/22/09,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,4.36,3.9,740,1.1,0.14,,,,0.58,<0.1,33.7,3.3,10,<5,8.9,0.91,7.3,0.01,<0.02,1.81,17.8,16,0.38,260,0.31,1.07,5.6,6.1,340,17.5,83.9,0.02,0.49,3.5,<0.2,0.7,165,<0.1,5,0.14,0.6,1.2,23,0.6,10.4,20,040019441003,block_group
C-351472,6071,AZ,33.3547,-113.6916,07/11/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.81,13.8,580,1.5,0.23,,,,7.63,0.2,80.1,12.2,44,6,32.1,3.11,12.4,0.03,0.05,1.46,39.4,32,1.37,596,0.84,0.83,11.7,23.7,930,19.2,64.3,0.03,1.16,9.8,<0.2,1.6,234,<0.1,14.1,0.41,0.5,2.6,92,1.8,20.9,70,040270121002,block_group
C-339060,6107,AZ,36.1603,-111.3842,04/21/09,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,3.09,4.1,843,1,0.14,,,,4.66,<0.1,37.7,4.5,9,<5,12.6,1.39,5.66,0.01,0.02,1.33,17.9,23,1.1,466,0.22,0.43,5.1,6.3,300,14.5,62.7,0.03,0.54,3.9,<0.2,0.8,242,<0.1,6,0.15,0.4,1.4,32,0.5,11.9,23,040059450001,block_group
C-343374,6319,AZ,34.9656,-113.7029,07/20/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.64,4.7,719,2.3,0.6,,,,2.3,0.1,122,10.9,36,<5,13.4,3.81,13.7,0.02,0.06,2.71,55.6,13,0.57,445,0.87,1.41,24.4,12.2,650,26.6,165,0.01,0.41,7.1,<0.2,4.1,163,<0.1,29.9,0.4,0.7,3.9,69,2.8,33.6,51,040159548002,block_group
C-351664,6391,AZ,33.7672,-113.5579,07/10/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.66,6.2,775,1.7,0.47,,,,4.66,0.2,102,11.3,35,<5,24.1,3.11,14.6,0.01,0.05,2.54,51.5,22,1.11,603,1.11,1.28,15,18.3,850,26.7,94.2,0.03,1.14,9.2,<0.2,4,300,<0.1,17.6,0.35,0.5,3.3,75,2,26.3,65,040120201001,block_group
