sample,sampleLong,community,type,sampling_year,sampling,units,sample_name,aluminum,aluminumRaw,aluminumIdentifier,arsenic,arsenicRaw,arsenicIdentifier,barium,bariumRaw,bariumIdentifier,berylliumRaw,beryllium,berylliumIdentifier,cadmiumRaw,cadmium,cadmiumIdentifier,chromiumRaw,chromium,chromiumIdentifier,manganeseRaw,manganese,manganeseIdentifier,nickelRaw,nickel,nickelIdentifier,leadRaw,lead,leadIdentifier,zincRaw,zinc,zincIdentifier,copperRaw,copper,copperIdentifier,geoid,geoid_type
C11,C-K-11 garden,Cochise,Garden Soil,2015-2016,,mg/kg,,11810,11812.111,Post-Transition Metal,8.767,8.7666863,Metalloid,210.7,210.69984,Alkaline Earth Metal,0.8298026,0.8298,Alkaline Earth Metal,0.804296,0.8043,Transitional Metal,37.118819,37.12,Transitional Metal,638.51685,638.5,Transitional Metal,22.534329,22.53,Transitional Metal,45.356185,45.36,Post-Transition Metal,304.47864,304.5,Transitional Metal,100.62979,100.6,Transitional Metal,040030002011,block_group
C11,C-K-11 yard,Cochise,Yard Soil,2015-2016,,mg/kg,,8795,8794.9186,Post-Transition Metal,1.872,1.8722676,Metalloid,158.1,158.05247,Alkaline Earth Metal,0.7131945,0.7132,Alkaline Earth Metal,0.2454838,0.2455,Transitional Metal,20.981097,20.98,Transitional Metal,421.33472,421.3,Transitional Metal,9.8640181,9.864,Transitional Metal,14.370649,14.37,Post-Transition Metal,37.803717,37.8,Transitional Metal,17.42029,17.42,Transitional Metal,040030002011,block_group
C12,C-K-12 garden,Cochise,Garden Soil,2015-2016,,mg/kg,,8685,8684.7509,Post-Transition Metal,3.262,3.2621847,Metalloid,154.1,154.10253,Alkaline Earth Metal,0.9834438,0.9834,Alkaline Earth Metal,1.1587511,1.159,Transitional Metal,26.212186,26.21,Transitional Metal,619.55777,619.6,Transitional Metal,10.838909,10.84,Transitional Metal,111.51425,111.5,Post-Transition Metal,644.70298,644.7,Transitional Metal,83.566075,83.57,Transitional Metal,040030021003,block_group
C12,C-K-12 yard,Cochise,Yard Soil,2015-2016,,mg/kg,,6756,6755.6049,Post-Transition Metal,1.817,1.8169089,Metalloid,114.3,114.34159,Alkaline Earth Metal,0.8501402,0.8501,Alkaline Earth Metal,0.5461161,0.5461,Transitional Metal,20.807631,20.81,Transitional Metal,598.23613,598.2,Transitional Metal,5.7394368,5.739,Transitional Metal,50.981854,50.98,Post-Transition Metal,138.85963,138.9,Transitional Metal,26.217528,26.22,Transitional Metal,040030021003,block_group
C13,C-K-13 garden,Cochise,Garden Soil,2015-2016,,mg/kg,,13740,13742.681,Post-Transition Metal,9.925,9.9248133,Metalloid,137.2,137.19278,Alkaline Earth Metal,1.2643626,1.264,Alkaline Earth Metal,0.329946,0.3299,Transitional Metal,25.488166,25.49,Transitional Metal,394.11177,394.1,Transitional Metal,13.146948,13.15,Transitional Metal,30.120512,30.12,Post-Transition Metal,79.084814,79.08,Transitional Metal,37.082179,37.08,Transitional Metal,040030012001,block_group
C13,C-K-13 yard,Cochise,Yard Soil,2015-2016,,mg/kg,,7470,7469.5793,Post-Transition Metal,3.242,3.2422079,Metalloid,77.96,77.956367,Alkaline Earth Metal,0.9018406,0.9018,Alkaline Earth Metal,0.1660818,0.1661,Transitional Metal,24.627399,24.63,Transitional Metal,357.68969,357.7,Transitional Metal,8.4287366,8.429,Transitional Metal,16.434266,16.43,Post-Transition Metal,27.485289,27.49,Transitional Metal,14.051829,14.05,Transitional Metal,040030012001,block_group
C15,C-K-15 garden,Cochise,Garden Soil,2015-2016,,mg/kg,,10280,10278.429,Post-Transition Metal,4.632,4.6321114,Metalloid,120.6,120.62616,Alkaline Earth Metal,1.0084289,1.008,Alkaline Earth Metal,0.3814956,0.3815,Transitional Metal,25.927611,25.93,Transitional Metal,491.70118,491.7,Transitional Metal,10.626325,10.63,Transitional Metal,23.680236,23.68,Post-Transition Metal,106.3004,106.3,Transitional Metal,47.308367,47.31,Transitional Metal,040030019003,block_group
C15,C-K-15 yard,Cochise,Yard Soil,2015-2016,,mg/kg,,6495,6495.4958,Post-Transition Metal,4.385,4.3854787,Metalloid,82.42,82.42299,Alkaline Earth Metal,0.644255,0.6443,Alkaline Earth Metal,2.5729323,2.573,Transitional Metal,22.186905,22.19,Transitional Metal,506.79898,506.8,Transitional Metal,7.2568084,7.257,Transitional Metal,172.27915,172.3,Post-Transition Metal,245.32618,245.3,Transitional Metal,34.245558,34.25,Transitional Metal,040030019003,block_group
C16,C-K-16 garden,Cochise,Garden Soil,2015-2016,,mg/kg,,5449,5448.6074,Post-Transition Metal,2.56,2.5598709,Metalloid,115.4,115.35042,Alkaline Earth Metal,0.6428061,0.6428,Alkaline Earth Metal,0.3630205,0.363,Transitional Metal,21.591441,21.59,Transitional Metal,812.45569,812.5,Transitional Metal,5.512588,5.513,Transitional Metal,23.831792,23.83,Post-Transition Metal,71.279952,71.28,Transitional Metal,23.439485,23.44,Transitional Metal,040030021003,block_group
C16,C-K-16 yard,Cochise,Yard Soil,2015-2016,,mg/kg,,4871,4871.3143,Post-Transition Metal,3.635,3.6352479,Metalloid,138.9,138.91402,Alkaline Earth Metal,0.8054558,0.8055,Alkaline Earth Metal,0.5056727,0.5057,Transitional Metal,22.111177,22.11,Transitional Metal,785.4838,785.5,Transitional Metal,5.3716816,5.372,Transitional Metal,29.763813,29.76,Post-Transition Metal,70.071927,70.07,Transitional Metal,36.971872,36.97,Transitional Metal,040030021003,block_group
C18,C-K-18 garden,Cochise,Garden Soil,2015-2016,,mg/kg,,5649,5649.0315,Post-Transition Metal,2.76,2.7601937,Metalloid,359.6,359.63605,Alkaline Earth Metal,0.6869986,0.687,Alkaline Earth Metal,0.7411775,0.7412,Transitional Metal,18.633784,18.63,Transitional Metal,255.55209,255.6,Transitional Metal,9.0573978,9.057,Transitional Metal,17.101743,17.1,Post-Transition Metal,368.79738,368.8,Transitional Metal,187.24929,187.2,Transitional Metal,040030017021,block_group
C18,C-K-18 yard,Cochise,Yard Soil,2015-2016,,mg/kg,,14700,14700.347,Post-Transition Metal,5.889,5.8889776,Metalloid,106.9,106.94929,Alkaline Earth Metal,1.3402501,1.34,Alkaline Earth Metal,0.1911471,0.1911,Transitional Metal,27.49466,27.49,Transitional Metal,233.25521,233.3,Transitional Metal,12.340126,12.34,Transitional Metal,15.688635,15.69,Post-Transition Metal,38.340189,38.34,Transitional Metal,20.747844,20.75,Transitional Metal,040030017021,block_group
