sample,sampleLong,community,type,sampling_year,sampling,units,sample_name,arsenicRaw,arsenic,arsenicIdentifier,aluminumRaw,aluminum,aluminumIdentifier,bariumRaw,barium,bariumIdentifier,berylliumRaw,beryllium,berylliumIdentifier,cadmiumRaw,cadmium,cadmiumIdentifier,chromiumRaw,chromium,chromiumIdentifier,manganeseRaw,manganese,manganeseIdentifier,nickelRaw,nickel,nickelIdentifier,leadRaw,lead,leadIdentifier,zincRaw,zinc,zincIdentifier,copperRaw,copper,copperIdentifier,geoid,geoid_type
D11,D-K-11-Yard,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,5.36785857,5.36785857,Metalloid,,,Post-Transition Metal,81.5754095,81.5754095,Alkaline Earth Metal,0.26603076,0.26603076,Alkaline Earth Metal,0.08330004,0.08330004,Transitional Metal,12.9644926,12.9644926,Transitional Metal,373.227926,373.227926,Transitional Metal,6.78920296,6.78920296,Transitional Metal,5.94042149,5.94042149,Post-Transition Metal,52.0542849,52.0542849,Transitional Metal,24.6522173,24.6522173,Transitional Metal,"34.63,-112.09",centroid
D11,D-K-11-Garden,Dewey-Humboldt,Garden Soil,2011-2012,,mg/kg,,3.8973851,3.8973851,Metalloid,,,Post-Transition Metal,88.3080428,88.3080428,Alkaline Earth Metal,0.16397583,0.16397583,Alkaline Earth Metal,0.11430269,0.11430269,Transitional Metal,14.2015155,14.2015155,Transitional Metal,406.171256,406.171256,Transitional Metal,7.08840135,7.08840135,Transitional Metal,8.17071117,8.17071117,Post-Transition Metal,41.9958895,41.9958895,Transitional Metal,24.5817155,24.5817155,Transitional Metal,"34.63,-112.09",centroid
D12,D-K-12-Yard,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,62.0168663,62.0168663,Metalloid,,,Post-Transition Metal,186.786327,186.786327,Alkaline Earth Metal,10.3004491,10.3004491,Alkaline Earth Metal,0.28752495,0.28752495,Transitional Metal,26.0641218,26.0641218,Transitional Metal,540.285729,540.285729,Transitional Metal,16.8527445,16.8527445,Transitional Metal,10.3004491,10.3004491,Post-Transition Metal,105.253942,105.253942,Transitional Metal,56.5904192,56.5904192,Transitional Metal,"34.45,-111.98",centroid
D12,D-K-12-Garden,Dewey-Humboldt,Garden Soil,2011-2012,,mg/kg,,10.1263955,10.1263955,Metalloid,,,Post-Transition Metal,119.003688,119.003688,Alkaline Earth Metal,0.50852273,0.50852273,Alkaline Earth Metal,0.26664673,0.26664673,Transitional Metal,24.5628489,24.5628489,Transitional Metal,569.13447,569.13447,Transitional Metal,18.5956439,18.5956439,Transitional Metal,11.8882077,11.8882077,Post-Transition Metal,121.567833,121.567833,Transitional Metal,83.7529904,83.7529904,Transitional Metal,"34.45,-111.98",centroid
D13,D-K-13-Yard,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,23.9641021,23.9641021,Metalloid,,,Post-Transition Metal,191.801325,191.801325,Alkaline Earth Metal,0.65061313,0.65061313,Alkaline Earth Metal,1.28570016,1.28570016,Transitional Metal,23.2322983,23.2322983,Transitional Metal,583.475771,583.475771,Transitional Metal,19.5855419,19.5855419,Transitional Metal,62.441159,62.441159,Post-Transition Metal,322.2054,322.2054,Transitional Metal,66.425534,66.425534,Transitional Metal,"34.50,-112.28",centroid
D13,D-K-13-Garden,Dewey-Humboldt,Garden Soil,2011-2012,,mg/kg,,12.7562799,12.7562799,Metalloid,,,Post-Transition Metal,127.092305,127.092305,Alkaline Earth Metal,0.46590909,0.46590909,Alkaline Earth Metal,0.26315789,0.26315789,Transitional Metal,26.6423445,26.6423445,Transitional Metal,503.272329,503.272329,Transitional Metal,18.6839115,18.6839115,Transitional Metal,15.7050439,15.7050439,Post-Transition Metal,97.8064195,97.8064195,Transitional Metal,32.9625199,32.9625199,Transitional Metal,"34.50,-112.28",centroid
D15,D-K-15-Yard,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,34.884385,34.884385,Metalloid,,,Post-Transition Metal,290.458666,290.458666,Alkaline Earth Metal,0.51382788,0.51382788,Alkaline Earth Metal,0.62719649,0.62719649,Transitional Metal,41.1129692,41.1129692,Transitional Metal,3201.97434,3201.97434,Transitional Metal,28.935653,28.935653,Transitional Metal,29.6546026,29.6546026,Post-Transition Metal,175.164087,175.164087,Transitional Metal,82.7982228,82.7982228,Transitional Metal,"34.45,-111.98",centroid
D15,D-K-15-Garden,Dewey-Humboldt,Garden Soil,2011-2012,,mg/kg,,43.7685703,43.7685703,Metalloid,,,Post-Transition Metal,476.423423,476.423423,Alkaline Earth Metal,0.76502596,0.76502596,Alkaline Earth Metal,0.79203275,0.79203275,Transitional Metal,49.2191993,49.2191993,Transitional Metal,5195.46675,5195.46675,Transitional Metal,35.7724141,35.7724141,Transitional Metal,62.798772,62.798772,Post-Transition Metal,163.865765,163.865765,Transitional Metal,105.549321,105.549321,Transitional Metal,"34.45,-111.98",centroid
D16,D-K-16-Yard,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,3.94856745,3.94856745,Metalloid,,,Post-Transition Metal,174.579188,174.579188,Alkaline Earth Metal,0.6930959,0.6930959,Alkaline Earth Metal,0.12594509,0.12594509,Transitional Metal,25.0008953,25.0008953,Transitional Metal,794.526263,794.526263,Transitional Metal,16.7212495,16.7212495,Transitional Metal,8.44458814,8.44458814,Post-Transition Metal,44.5737167,44.5737167,Transitional Metal,14.8116793,14.8116793,Transitional Metal,"34.50,-112.28",centroid
D16,D-K-16-Garden,Dewey-Humboldt,Garden Soil,2011-2012,,mg/kg,,2.35380175,2.35380175,Metalloid,,,Post-Transition Metal,89.2956807,89.2956807,Alkaline Earth Metal,0.34524283,0.34524283,Alkaline Earth Metal,0.22919984,0.22919984,Transitional Metal,16.3468352,16.3468352,Transitional Metal,453.740048,453.740048,Transitional Metal,7.91062898,7.91062898,Transitional Metal,7.31478901,7.31478901,Post-Transition Metal,76.9102309,76.9102309,Transitional Metal,27.5479697,27.5479697,Transitional Metal,"34.50,-112.28",centroid
D17,D-K-17-Yard,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,5.9315,5.9315,Metalloid,,,Post-Transition Metal,123.681,123.681,Alkaline Earth Metal,0.44645,0.44645,Alkaline Earth Metal,0.0729,0.0729,Transitional Metal,30.21345,30.21345,Transitional Metal,463.318,463.318,Transitional Metal,24.10285,24.10285,Transitional Metal,6.07085,6.07085,Post-Transition Metal,49.10275,49.10275,Transitional Metal,24.6787,24.6787,Transitional Metal,"34.56,-112.32",centroid
D17,D-K-17-Garden,Dewey-Humboldt,Garden Soil,2011-2012,,mg/kg,,7.49551614,7.49551614,Metalloid,,,Post-Transition Metal,114.322041,114.322041,Alkaline Earth Metal,0.50523117,0.50523117,Alkaline Earth Metal,0.10552013,0.10552013,Transitional Metal,24.4628836,24.4628836,Transitional Metal,484.775409,484.775409,Transitional Metal,19.1193204,19.1193204,Transitional Metal,8.89353328,8.89353328,Post-Transition Metal,47.8935333,47.8935333,Transitional Metal,30.1673974,30.1673974,Transitional Metal,"34.56,-112.32",centroid
D20,D-K-20-Yard,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,32.2943628,32.2943628,Metalloid,,,Post-Transition Metal,173.034041,173.034041,Alkaline Earth Metal,0.44070067,0.44070067,Alkaline Earth Metal,0.10420802,0.10420802,Transitional Metal,17.9551906,17.9551906,Transitional Metal,624.921199,624.921199,Transitional Metal,13.8582275,13.8582275,Transitional Metal,7.49320167,7.49320167,Post-Transition Metal,108.219085,108.219085,Transitional Metal,40.3375347,40.3375347,Transitional Metal,"34.45,-111.98",centroid
D20,D-K-2--Garden,Dewey-Humboldt,Garden Soil,2011-2012,,mg/kg,,34.6018371,34.6018371,Metalloid,,,Post-Transition Metal,177.498103,177.498103,Alkaline Earth Metal,0.4454373,0.4454373,Alkaline Earth Metal,0.05770767,0.05770767,Transitional Metal,16.1919429,16.1919429,Transitional Metal,602.574681,602.574681,Transitional Metal,13.4053015,13.4053015,Transitional Metal,6.64971046,6.64971046,Post-Transition Metal,69.3998103,69.3998103,Transitional Metal,43.0138778,43.0138778,Transitional Metal,"34.45,-111.98",centroid
D21,D-K-21-Yard,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,4.09345143,4.09345143,Metalloid,,,Post-Transition Metal,85.0263734,85.0263734,Alkaline Earth Metal,0.13141919,0.13141919,Alkaline Earth Metal,0.04717357,0.04717357,Transitional Metal,51.6413714,51.6413714,Transitional Metal,210.153364,210.153364,Transitional Metal,24.8444964,24.8444964,Transitional Metal,5.05518511,5.05518511,Post-Transition Metal,37.5686206,37.5686206,Transitional Metal,17.0949443,17.0949443,Transitional Metal,"34.45,-111.98",centroid
D21,D-K-21-Garden,Dewey-Humboldt,Garden Soil,2011-2012,,mg/kg,,3.02305246,3.02305246,Metalloid,,,Post-Transition Metal,118.142886,118.142886,Alkaline Earth Metal,0.11680246,0.11680246,Alkaline Earth Metal,-0.0133148,-0.0133148,Transitional Metal,10.7797595,10.7797595,Transitional Metal,318.116852,318.116852,Transitional Metal,5.86491455,5.86491455,Transitional Metal,4.57924285,4.57924285,Post-Transition Metal,39.4800775,39.4800775,Transitional Metal,38.8831479,38.8831479,Transitional Metal,"34.45,-111.98",centroid
D29,D-K-29-Yard,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,19.88437,19.88437,Metalloid,,,Post-Transition Metal,139.23754,139.23754,Alkaline Earth Metal,0.4416866,0.4416866,Alkaline Earth Metal,0.21232057,0.21232057,Transitional Metal,38.0845295,38.0845295,Transitional Metal,967.546053,967.546053,Transitional Metal,25.235945,25.235945,Transitional Metal,11.3950359,11.3950359,Post-Transition Metal,72.1353668,72.1353668,Transitional Metal,49.8204745,49.8204745,Transitional Metal,"34.50,-112.28",centroid
D21,D-K-29-Garden,Dewey-Humboldt,Garden Soil,2011-2012,,mg/kg,,15.1255971,15.1255971,Metalloid,,,Post-Transition Metal,106.747014,106.747014,Alkaline Earth Metal,0.44237659,0.44237659,Alkaline Earth Metal,0.36813296,0.36813296,Transitional Metal,29.229996,29.229996,Transitional Metal,561.303941,561.303941,Transitional Metal,19.3077229,19.3077229,Transitional Metal,31.5065685,31.5065685,Post-Transition Metal,76.4166998,76.4166998,Transitional Metal,67.2236266,67.2236266,Transitional Metal,"34.45,-111.98",centroid
D32,D-K-32-Yard,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,58.8232776,58.8232776,Metalloid,,,Post-Transition Metal,372.653923,372.653923,Alkaline Earth Metal,0.63391079,0.63391079,Alkaline Earth Metal,1.34000398,1.34000398,Transitional Metal,40.1337117,40.1337117,Transitional Metal,2694.03106,2694.03106,Transitional Metal,30.2776782,30.2776782,Transitional Metal,84.1569096,84.1569096,Post-Transition Metal,336.192354,336.192354,Transitional Metal,173.999403,173.999403,Transitional Metal,"34.45,-111.98",centroid
D32,D-K-32-Garden,Dewey-Humboldt,Garden Soil,2011-2012,,mg/kg,,41.0261373,41.0261373,Metalloid,,,Post-Transition Metal,345.669294,345.669294,Alkaline Earth Metal,0.87859138,0.87859138,Alkaline Earth Metal,0.86173184,0.86173184,Transitional Metal,39.1546289,39.1546289,Transitional Metal,2679.24691,2679.24691,Transitional Metal,33.1223065,33.1223065,Transitional Metal,42.2118915,42.2118915,Post-Transition Metal,171.007083,171.007083,Transitional Metal,119.028532,119.028532,Transitional Metal,"34.45,-111.98",centroid
D34,D-K-34-Yard,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,100.386327,100.386327,Metalloid,,,Post-Transition Metal,204.673752,204.673752,Alkaline Earth Metal,0.14196607,0.14196607,Alkaline Earth Metal,0.82964072,0.82964072,Transitional Metal,46.0619261,46.0619261,Transitional Metal,3556.6013,3556.6013,Transitional Metal,42.6336826,42.6336826,Transitional Metal,140.361427,140.361427,Post-Transition Metal,243.160928,243.160928,Transitional Metal,97.0388224,97.0388224,Transitional Metal,"34.50,-112.28",centroid
D34,D-K-34-Garden,Dewey-Humboldt,Garden Soil,2011-2012,,mg/kg,,47.6580311,47.6580311,Metalloid,,,Post-Transition Metal,167.022419,167.022419,Alkaline Earth Metal,0.68976684,0.68976684,Alkaline Earth Metal,2.57493025,2.57493025,Transitional Metal,27.2931945,27.2931945,Transitional Metal,617.688123,617.688123,Transitional Metal,20.8987146,20.8987146,Transitional Metal,510.490684,510.490684,Post-Transition Metal,631.700827,631.700827,Transitional Metal,459.049024,459.049024,Transitional Metal,"34.50,-112.28",centroid
